Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Timestamp
logistic_regression_cnn,0.7243589743589743,0.8027777777777778,0.7410256410256411,0.7706666666666667,0.7848564540872234,19-04-2026 22:19:54
random_forest_cnn,0.719551282051282,0.7079303675048356,0.9384615384615385,0.8070562293274531,0.808683979837826,19-04-2026 22:19:56
svm_rbf_cnn,0.6939102564102564,0.6779964221824687,0.9717948717948718,0.7987355110642782,0.854492658338812,19-04-2026 22:20:01
svm_linear_cnn,0.6730769230769231,0.658703071672355,0.9897435897435898,0.7909836065573771,0.8547666009204471,19-04-2026 22:20:10
gradient_boosting_cnn,0.7291666666666666,0.7153996101364523,0.941025641025641,0.8128460686600222,0.821663379355687,19-04-2026 22:20:53
adaboost_cnn,0.6714743589743589,0.6614310645724258,0.9717948717948718,0.7871235721703012,0.7339414858645629,19-04-2026 22:20:57
decision_tree_cnn,0.7067307692307693,0.7264770240700219,0.8512820512820513,0.7839433293978748,0.6597030462415078,19-04-2026 22:20:57
knn_cnn,0.7051282051282052,0.7145833333333333,0.8794871794871795,0.7885057471264367,0.714847687924611,19-04-2026 22:20:57
knn_manhattan_cnn,0.7259615384615384,0.7194388777555111,0.9205128205128205,0.8076490438695163,0.7551775147928994,19-04-2026 22:20:58
naive_bayes_cnn,0.3733974358974359,0.0,0.0,0.0,0.48813280736357656,19-04-2026 22:20:58
